text,label
"Senator Collins at a press conference yesterday, releasing a new GAO report on the northern border:   http://twitpic.com/3vtuxq",0.0
"DC plot ""appears to be yet another example of radicalized extremists attempting to attack America from within border""
http://t.co/9XqJ1LUz",0.0
"Sen. Collins opposes planned study of border fees included in President's FY14 budget.
http://t.co/eUj85pUaMw
#mepolitics",0.0
"Sen. Collins, colleagues begin briefing on #BorderCrisis at McAllen,TX border patrol station #mepolitics http://t.co/d9yK8qL6iO",0.0
"Sen. Collins &amp; @SenAngusKing discuss immigration policy with CBP at Hildago Bridge, TX port of entry #mepolitics http://t.co/rgWaqkIY28",0.0
Now at Lackland AFB to tour short term housing facilities for unaccompanied minors who have crossed the border from Central America.,0.0
RT @SenAngusKing: With @SenatorCollins at US-Mexico #border. Getting on-the-ground info about the #BorderCrisis #mepolitics http://t.co/65z…,0.0
RT @SenAngusKing: Thx to @SenatorCollins for organizing today’s trip to the #border. Critical insight on the #BorderCrisis #mepolitics http…,0.0
"Sens. Collins, King say US should do more to counter promises Central American gangs make to young immigrants http://t.co/QOU5651Wi3",0.0
"In wake of Paris attack, Sen. Collins, @SenAngusKing cosponsor bipartisan bill to strengthen visa waiver program https://t.co/q85OBCc06T",0.0
Sen. Collins @ naturalization: “Congrats and welcome to nat’l family as you become part of greatest nation on earth” https://t.co/7zgtvywh2A,0.0
Sen. Collins met today with members of Maine 4-H programs who are visiting D.C. for a week-long citizenship program https://t.co/prHKDMuisB,0.0
"stopping the deportation of people when their American spouse dies, even mothers with children who are born here.",1.0
And the mission is unchanged: wipe out Al Qaeda; diminish the Taliban insurgents and keep up the pressure in the Pakistan border region.,1.0
Still pressing gov’t for one-year medical visas for the youngest and worst traumatized victims of the quake http://bit.ly/7Tq01D,1.0
"Immigration enforcement ought to be about securing our borders, not sending home outstanding and promising students. http://t.co/cYEU5Srs",1.0
"I support immigration reform with tough border security. We simply can’t deport 11 million people. For one thing, it would ruin our economy.",1.0
"I believe the immigration bill the Senate just passed is a balanced, bipartisan and common-sense step in the right direction.",1.0
This was the right immigration call by the president given the tea party’s stranglehold on House GOP.,1.0
"U.S. must do more to combat the Ebola outbreak, including restricting travel visas from affected countries: http://t.co/gFv6LAFO6h",1.0
Any effort to deal w/ illegal immigration must secure the border -- Corker-Hoeven amendment and current bill do not achieve this goal.,0.0
"America is the most compassionate country in the world – so why are we handling the immigration crisis so poorly?
http://t.co/LALe95NxVs",0.0
I talked ISIS and our nation’s border with Bill LuMaye earlier this week. Listen here: http://t.co/peFPwmGWvK,0.0
Did you miss my conversation with Bill LuMaye on ISIS and our border? Listen here: http://t.co/peFPwmGWvK,0.0
DHS spends 10 years and a billion dollars to put one immigration form online https://t.co/zK6gbmSx2u https://t.co/9MmrHc5LjM,0.0
"Talked national security with @wolfblitzer. @POTUS’s lack of strategy in Syria is complicating the refugee crisis.
https://t.co/3CVuXQh5cq",0.0
.@AP: US looking at ways to better screen would-be immigrants https://t.co/P2LMYt7olC https://t.co/ZeL9Eqv3G6,0.0
"America has an admirable history of welcoming refugees. Yet, our first obligation is to protect the American people. https://t.co/hf7PHrjUYz",0.0
I’m disappointed Democrats blocked the #SAFEact. Americans deserve to know that refugees coming into the US have been properly vetted.,0.0
Outmoded U.S. immigration system poses security risk via @Reuters https://t.co/k88T0L5INX,0.0
RT @SenatorLankford: Just returned from a 3-day visit to @usembassyguate. Met w/ officials to discuss #drugtrafficking &amp; #immigration. http…,0.0
American employers should try to hire Americans 1st before bringing in #h1b visa employees. Learn more in @limanews: http://t.co/hfLRrYoXUG,1.0
It has been a whole year since Senate passed bipartisan immigration reform. What is the House waiting for? #TimeIsNow http://t.co/Eq6iz6FWDL,1.0
Today Senate passed Justice for Victims of Trafficking Act—b/c human trafficking is a crime that knows no borders. http://t.co/ZTVFi3NMkf,1.0
RT @AAIUSA: Thank you @SenSherrodBrown of Ohio for supporting refugees #NoBigotry #RefugeesWelcome https://t.co/nXrKod13dm,1.0
Thank you @OSUWexMed for hosting us to talk about Sherrod's important work to lower the cost of lifesaving medicine with the PRICED Act. https://t.co/zIeTeQVA3z,1.0
"RT @CNNPolitics: BREAKING: A federal judge temporarily halts Trump's travel ban nationwide, the Washington state AG says https://t.co/uzqZL…",1.0
RT @mattzap: BREAKING: Federal appeals court maintains suspension of Trump’s immigration order https://t.co/yrEcptqBb3,1.0
RT @GlobalCleveland: Senator @SenSherrodBrown reminds us of the critical role immigrants play in our community and economy. #globalCLE http…,1.0
Flew w/ the crew of the MH-65 Dolphin! Thanks to all at Air Station Detroit for helping protect our Northern border. https://t.co/HnXjKqicxl,1.0
These cuts are terrible for Michigan. We depend on this funding to keep boaters + swimmers safe &amp; our border secure. https://t.co/S9yfCCUTZ3,1.0
Sen Franken and fmr MN State Sen @mee_moua discussed protecting children in immigration reform during hearing. Pic: http://t.co/rMeHJF9o32,1.0
"Sen. Franken pleased with provisions to help economy, farmers in #immigration bill but sees room for improvements http://t.co/0L6VcCZm3S",1.0
Sen. Franken files amdts to improve immigration reform. The amdts will help small businesses and children. More here: http://t.co/xGTswt65L0,1.0
"Sen. Franken wins fight to help small businesses, improve the E-Verify system as part of immigration reform http://t.co/gh5Wjrprgr",1.0
"At State Capitol, Franken outlined how bipartisan immigration bill will help MN &amp; fix system that's a drag on economy http://t.co/RZt9tXpZCp",1.0
The split decision by #SCOTUS today is a major setback for immigrant families in MN &amp; around the country. More here: https://t.co/MJlNB0pYDp,1.0
Kicking off my Northern Minnesota border tour with Canadian Counsel General @jamshed_MPLS at Grand Forks International Airport today.,1.0
"I’m touring a large part of MN's U.S.-Canadian border with @jamshed_MPLS, including aerial tour of Northwest Angle. https://t.co/Js7hwL7kJ9",1.0
"Our last stop of the day for the Northern MN border tour is Bohman's Landing, where I'll be meeting with U.S. Customs and Border officials.",1.0
"Grateful to @CBPGreatPlains for the work they do, &amp; for meeting with me during my Northern MN border tour this week. https://t.co/7iY9vYtJzW",1.0
Skol to the @Vikings on a great defensive win yesterday. Looking to notch a big W next week in a border battle with the Green Bay Packers.,1.0
DREAMers contribute to our country and make us stronger. We need to #SaveDACA and protect #DREAMers in Minnesota and our nation.,1.0
TOMORROW AM → I'll be live streaming press conference to address what @POTUS refugee ban means for MN on Facebook. https://t.co/XW15syR4uI,1.0
"Shortly after 10 AM CT/11 AM ET, I'll be in St. Paul to discuss @POTUS refugee ban. Livestream from MN will be on FB https://t.co/XW15syR4uI",1.0
Thanks to all who took part in my discussion w/ @amyklobuchar &amp; community members on what refugee ban means for MN. https://t.co/6mYktiNeDV,1.0
Hope you join me and @SenateDems at the U.S. Supreme Court tonight to stand with refugees &amp; our immigrant community. https://t.co/oGGr70H29X,1.0
Project FINE helps immigrants and refugees in MN counties. Glad my staff attended annual report to the community event at @smumn this week.,1.0
Congrats to 800+ Minnesotans from 80+ different countries who became United States citizens today at a naturalization ceremony in St. Paul. https://t.co/481mbule98,1.0
MN fields were first tilled by Swedish immigrants. Their crops filled two million acres. Iron mines in the north depended on Finnish labor.,1.0
"Today, most of Minnesota's immigrants come from Asia, Latin America, and Africa. And their contributions to our state are just as important.",1.0
MN hasn't suffered from immigrants—it's thrived because of them. I stand in solidarity with #DayWithoutImmigrants. https://t.co/yxezCAlIXi,1.0
"Old EO hurt MN families. Revised travel ban remains unacceptable, and glad to see a federal judge agrees. Hope we can soon put EO behind us.",1.0
Mushkaad is one of the reasons I pledge to keep fighting against travel bans that are wrong for Minnesota and our nation.,1.0
That's why I've long called on the federal gov't to crack down on the subsidized Canadian softwood lumber that's flooding across our border.,1.0
"If you suffered property damage as a result of the tornado on Friday, please make sure to fill out this... http://t.co/ICEaFm6G",0.0
@MinuteMom Agreed that enhanced boarder security must remain our utmost priority in regards to immigration reform.,0.0
@mjselker As of now the House has no intention of taking up the Senate Bill.  My focus will remain on enhanced border security.,0.0
@chickenman246 The House won't be taking up the Senate bill &amp; will instead rely on piecemeal legislation focused on enhanced border security,0.0
@FrankSc37928023 We must first focus on securing our borders before beginning the debate on any sort of immigration reform.,0.0
@mjselker enhanced border security remains my utmost concern before any sort of immigration reform can be addressed.,0.0
@Armywife1972 I'm dedicated to enhanced border security before beginning discussions on immigration. Amnesty isn't a solution to the problem,0.0
"@peggysoto thx for the input. The house will address this issue through piecemeal legislation, focusing first on enhanced border security.",0.0
"@chickenman246 I still maintain that we must secure our borders before addressing any immigration reform, &amp; amnesty doesn’t solve this issue",0.0
"@chickenman246 I still maintain that we must secure our borders before addressing any immigration reform, &amp; amnesty doesn’t solve this issue",0.0
I voted for both immigration measures that passed the House tonight.  Read my detailed explanation here: https://t.co/NNvrCBRsoF,0.0
The President is readying to issue executive action on immigration. Here are all the times he said he couldn’t. http://t.co/3G1LvLPUaZ,0.0
A NBC/WSJ poll found 48% of Americans disapprove of unilateral action on immigration compared to only 38% who approve http://t.co/SZcgjRlhaT,0.0
"President Obama says his position on immigration executive orders has not changed. Politifact says that is false. 
http://t.co/gKBT4ZaT0X",0.0
Democrats and members of the media agree the President’s executive action on immigration is not a productive path http://t.co/nMylXALs0F,0.0
"Today, I voted yes on H.R. 5759, the Preventing Executive Overreach on Immigration Act, to prevent the President’s action on immigration.",0.0
"RT @INagribiz: @RepToddYoung highlights regulatory reform (REINS Act), tax reform, immigration, trade as BIG policy issues for ag.  #ACI  #…",0.0
It’s time for Senate Democrats to work with the Republican Congress to craft sensible solutions on immigration. https://t.co/3t7lklGiEl,0.0
House passed simple bill to beef up border security and fund DHS--Dems are blocking just to protect President's executive actions.,0.0
He also said he's frustrated Congress isn't doing its job on immigration...but yet still votes to block Congressional debate on immigration.,0.0
Just spoke on the House floor in support of the NOTICE Act I authored with @RepLloydDoggett. House vote tonight. https://t.co/S9qZxqvn3O,0.0
NOTICE: Phone lines cut 2 our Jeffersonville office. Anyone needing assistance welcome to walk-in/call other offices. http://t.co/CzSyAlv6z3,0.0
And yesterday the #NOTICEAct @RepLloydDoggett &amp; I got passed 2 protect #Medicare patients was sent to the President! https://t.co/SPzevlEpkj,0.0
.@EliLake &amp; @joshrogin on lengths Obama WH will go to appease #Iran. State Dept. will ignore Iran visa restrictions: https://t.co/XzFrvifEBV,0.0
"(1) Obama White House ignores Iran nuclear-capable missile violations, now set to ignore #Iran #visa restrictions.",0.0
Immediate release: #Hoosier lawmakers question DHS Secretary over #deportation records &amp; failures found in IG report https://t.co/ke922WQx06,0.0
"During our SFRC Subcommittee hearing, Ms. Semhar Araia from @UNICEFUSA spoke directly to this: https://t.co/FSOiQNFgh8 https://t.co/LfHS4qlNFd",0.0
New York Times: My Life as an Undocumented Immigrant - http://t.co/hKhW1Ta #DreamAct,1.0
Introduced a bill to reform visas to build our STEM workforce today and invest in STEM to create a pipeline of talent for tomorrow.,1.0
"WATCH: Fox 31 story on my bill to update visa process, keep international talent in the United States. http://t.co/LwTyA4wF",1.0
A commonsense fix http://t.co/aGzKe3OP RT @atabarrok No-Brainer Issue of the Year: Let High-Skill Immigrants Stay http://t.co/7GAckALt,1.0
RT @ImmigrantsList1: Thrilled that @SenBennetCO will receive our 4th annual Maggio Award on March 29th. RSVP/more info here: http://t.co ...,1.0
"If you think Washington should act on immigration reform, visit the Colorado Compact website and add your name: http://t.co/VvSFH1s7",1.0
"RT @MarkUdall: Proud to join @SenBennetCO, Sen Hank Brown &amp; #bipartisan coalition to roll out #CO #immigration compact. http://t.co/Z2vZ7Ciw",1.0
RT @Arturo_Sarukhan: Kudos to @SenBennetCO &amp; #ColoradoCompact on joining states in favor of rational &amp; bipartisan immigration re ...,1.0
RT @thehill: .@SenBennetCO 'more optimistic today' about passing bipartisan immigration reform http://t.co/dQdudq2W by @danielstrauss4,1.0
RT @EliStokols: STORY: @SenBennetCO joins @SenJohnMcCain @marcorubio in drafting bipartisan #immigration compromise: http://t.co/8tum8o5 ...,1.0
We've been working w/ a bipartisan group of senators to fix our broken immigration system. Read more and join us here: http://t.co/D76CP8eV,1.0
Thanks to @jeremyhobson for talking w/ me about the need for bipartisan #immigration reform on @MarketplaceAPM. Listen: http://t.co/zE5PiiKq,1.0
.@ezraklein has a great chart here detailing just how difficult our current #immigration policy is: http://t.co/8ktZ24i5,1.0
Thanks to everyone who joined me at the 5th Sun Cafe to discuss how we fix our broken #immigration system. http://t.co/fUbSSROO,1.0
RT @EliStokols: STORY: @SenBennetCO pitches bipartisan #immigration plan to Colorado Latinos: http://t.co/Ze1kNVT7 #COpolitics,1.0
"This is our best chance in 20 years to fix our broken #immigration system.
http://t.co/SnCMcWQk",1.0
Help me fix our broken #immigration system by joining my grassroots organizing team here: http://t.co/4crTWIKS,1.0
Discussing plan to fix our immigration system with Hispanic Task Force #askHTF then to an educ hearing w @arneduncan fixing NCLB,1.0
"New @HuffPostPol post: With grassroots support, our parties will come together &amp; fix our broken immigration system http://t.co/h2AxOMaY",1.0
I’ll be talking immigration at @Atlantic_LIVE's #AtlanticMFG event soon. Tune in to the live stream: http://t.co/2f1sNn0s,1.0
"A great immigration discussion in Evans, CO. Now on to tour the Crossroads Safehouse to highlight the importance of passing #VAWA and #SAFER",1.0
"Encouraging news. AP: Business, labor have agreement on future worker principles; key to immigration bill http://t.co/GNpypuxpV1",1.0
From @SmlBizMajority: Small businesses back the Group of Eight's framework to fix our broken #immigration system http://t.co/ownpfAUmhz,1.0
".@5280Magazine has an excellent, in-depth look at immigration in Colorado and our efforts to fix our broken system. http://t.co/gJwDekVqLM",1.0
.@cbsnews interview I did w/ @JeffFlake about #immigration. Most productive effort I've been a part of in the Senate. http://t.co/wTMQs5Prnh,1.0
@TogetherCO dropped off 1300 postcards and discussed need to fix immigration system w/ my staff. TY for helping fight for #citizenship.,1.0
