sentence,source
The border security team managed to keep productivity high despite tough conditions.,LABOR
"The new detention center offers several job opportunities for locals, including roles in administration and security.",LABOR
The recruitment of volunteers to help in the asylum is in process and they will be provided with proper contracts.,LABOR
"Obtaining citizenship is like earning a promotion in a job, a recognition of your hard work and commitment to a country.",LABOR
"Refugees often accept any job they can find, as a first step towards rebuilding their lives.",LABOR
Salary is a major deciding factor for immigrants who apply for a work visa.,LABOR
"ICE agents often have to work overtime, resulting in increased productivity and job satisfaction.",LABOR
The legislation on immigration reform has resulted in changes in the workplace dynamics of many companies.,LABOR
"Security at the border is a job requiring constant vigilance, much like a night shift in an office.",LABOR
Deportation processes are often linked to the individual's job and contract status in the host country.,LABOR
"Naturalization can be compared to a promotion in the workplace, a reward for dedication and loyalty to the nation.",LABOR
DACA recipients often face difficulties when looking for jobs due to legal uncertainties.,LABOR
The border guards have to balance their duty with the impact on the salary and benefits of their coworkers.,LABOR
The detention center staff are hoping for an upcoming contract renewal that could benefit their job security.,LABOR
Asylum seekers are often in desperate need of job opportunities to support their families.,LABOR
The path to citizenship may be likened to the quest for a promotion in one's workplace.,LABOR
"The number of refugees has skyrocketed, leading to an increased need for recruitment of aid workers.",LABOR
A visa can often be a ticket to a better job and improved living conditions for immigrants.,LABOR
An ICE officer's job involves careful coordination between the office and the field.,LABOR
"The new immigration legislation has caused upheaval in the workplace, especially in industries that heavily rely on foreign labor.",LABOR
Security at the borders has been likened to maintaining productivity in a bustling office.,LABOR
The deportation procedure is often a complicated contract between the country of origin and the host country.,LABOR
Naturalization ceremonies are like celebrating a coworker's retirement - a milestone achieved after a lot of hard work.,LABOR
"DACA, for many, represents a chance to live a life without the constant fear of job loss due to legal status.",LABOR
"The border guards, as part of their benefits package, are offered substantial retirement plans.",LABOR
The detention of immigrants has sparked a discussion about workplace rights in detention centers.,LABOR
Asylum seekers often wish for nothing more than a steady job and a safe workplace.,LABOR
"Citizenship, for many immigrants, means better job opportunities and benefits.",LABOR
Refugees often look for immediate job opportunities to sustain their families upon their arrival.,LABOR
"The visa process can be as arduous as a job recruitment procedure, requiring a lot of paperwork and waiting time.",LABOR
"ICE operations, despite their controversial nature, offer a significant number of jobs across the country.",LABOR
The legislation around immigration directly impacts the job market and workplace policies.,LABOR
"Improving border security could lead to the recruitment of more officers, boosting local job opportunities.",LABOR
The deportation of workers can have a significant impact on productivity within certain industries.,LABOR
Naturalization often results in better job opportunities and increased security for immigrants.,LABOR
"For many DACA recipients, the chance to work legally significantly boosts their productivity and workplace satisfaction.",LABOR
Border issues can often be compared to office dynamics - both require careful negotiation and management.,LABOR
Job conditions in detention centers have been a point of controversy among human rights activists.,LABOR
Asylum seekers often turn to telecommuting jobs to support themselves in a new country.,LABOR
The journey to citizenship can be as complex and rewarding as climbing the corporate ladder in an office.,LABOR
The plight of refugees often sparks debates about job rights and workplace inclusivity.,LABOR
Increased security measures at the border can impact the salary of employees.,LABOR
The border agency was criticized for the recruitment of additional staff amidst a controversial policy.,LABOR
Job opportunities in the border town fluctuated due to the changes in immigration policy.,LABOR
The new border control office is planning to increase its productivity through modern technology.,LABOR
Working at the border can sometimes lead to a fast-track promotion due to the challenging environment.,LABOR
Telecommuting is rarely an option for those who work in border enforcement.,LABOR
The border control coworker shared stories about the constant struggle to maintain security.,LABOR
New border contracts have been signed to bolster the surveillance efforts.,LABOR
The conditions of the detention center were under scrutiny due to a coworker's report.,LABOR
Job turnover in detention facilities is high due to the stress of the work environment.,LABOR
Salaries for detention center workers are being evaluated for a potential increase.,LABOR
The workplace environment in detention facilities has been a subject of heated debate.,LABOR
An asylum seeker found a job soon after his application was accepted.,LABOR
Asylum policies can impact workplace demographics in regions with high numbers of applicants.,LABOR
The salary of an asylum officer can be influenced by legislation and budget allocations.,LABOR
Telecommuting has become more common for asylum office workers due to digitalization of applications.,LABOR
Acquiring citizenship can increase job opportunities for immigrants.,LABOR
"The process of obtaining citizenship involves a lot of paperwork, similar to signing a work contract.",LABOR
"Upon achieving citizenship, many immigrants experience better workplace benefits.",LABOR
Refugees often find job opportunities through local community support programs.,LABOR
A coworker who was a former refugee shared a heartfelt story about his journey.,LABOR
The productivity of refugees can be a significant contribution to the economy.,LABOR
A work visa is often the first step towards a job in a new country for many immigrants.,LABOR
"Visa officers at the embassy often have a high workload, affecting their productivity.",LABOR
Obtaining a visa can lead to better salary prospects for skilled workers.,LABOR
ICE agents' recruitment process is stringent due to the sensitivity of their jobs.,LABOR
The job of an ICE agent involves dealing with complex issues of immigration and deportation.,LABOR
ICE offices across the country are working to improve their productivity amidst rising challenges.,LABOR
